A,B,C,D,E,F,G,H,I
Friendship,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Queen
Crime,Amjad Khan,Theft,Prison,Robbery,Amitabh Bachchan,Indian actors,Sentence,Qurbani
Wireless,Shivaji,Game,Protagonist,The Real World,The Real,NaN,NaN,Ra.One
Crime,Police,English-language films,NaN,NaN,NaN,NaN,NaN,Raakh
Marriage,Love,Wedding,Jawaharlal Nehru,Political party,NaN,NaN,NaN,Raanjhanaa
Love,Friendship,Interpersonal relationship,Marriage,Hindi film actors,Udit Narayan,Romance,Nadodikkattu,Raaste Pyar Ke
Horror film,Cat,Neighbourhood,The Ashes,The Way Back,KILL,NaN,NaN,Raat
Suicide,Suicide methods,Attack!,Guru,Hanging,Bollywood,Yash Chopra,Veer-Zaara,Raaz  The Mystery Continues
Suicide,Magic,Suicide methods,Love,The Help,God,Turn LP,NaN,Raaz 3
Dance,Ceremonial dance,NaN,NaN,NaN,NaN,NaN,NaN,Rab Ne Bana Di Jodi
Family,Marriage,Wife,Husband,Spouse,Hinduism,Difficulty level,Kinship and descent,Rabba Main Kya Karoon
KILL,Murder,Automobile,Killing vector field,Nuclear weapon,NaN,NaN,NaN,Race
Shroud of Turin,Sibling,Plane,Turin,Brazilian real,NaN,NaN,NaN,Race 2
Marriage,Suicide,Girl,William Hurt,Suicide methods,Family,Woman,Arranged marriage,Raftaar
Boss,Leadership,Number-one dance hits of 1997,The Boss,NaN,NaN,NaN,NaN,Raghu Romeo
Suicide,Haunted house,Toilet,The Key,Ghost,Psychiatry,NaN,NaN,Ragini MMS
Haunted house,Ghost,English-language films,Sunny Leone,American films,Film,Sexual intercourse,Marriage,Ragini MMS 2
Marriage,Arranged marriage,Family,NaN,NaN,NaN,NaN,NaN,Rahul's Arranged Marriage
Bed,Rent,Renting,NaN,NaN,NaN,NaN,NaN,Raincoat
Village,Villager,Evidence,Adoption,Prem Chopra,Yokel,NaN,NaN,Raja Babu
Raja Ravi Varma,Ethics,Monarch,The Sage Gateshead,Vishvamitra,NaN,NaN,NaN,Raja Harishchandra
Family,Stepfamily,Love,Mother,Aarti,Ugly sisters,NaN,NaN,Raja Hindustani
Marriage,Family,Sibling,Love,Titles in India,Rao Bahadur,Snake,British rule in India,Raja Ki Aayegi Baraat
English-language films,Love,Crook,The Help,Murder,The Loss,KILL,2000s music groups,Raja Natwarlal
Family,Marriage,Prime minister,Love,Wife,Husband,Cabinet,Westminster system,Rajkumar
Time,Love,Marriage,American films,Interpersonal relationship,Indian National Congress,Long-term memory,English-language films,Rajnigandha
Marriage,Love,Inspector,Superintendent,Family,Rape,People from Jharkhand,14th Lok Sabha members,Rajput
Love,Bollywood,The Glamorous Life,Meantime,Indian National Congress,British Raj,Fergie,NaN,Raju Ban Gaya Gentleman
Family,English-language films,Black-and-white films,Marriage,Kinship and descent,The Real,Wedding,NaN,Raju Chacha
Tarot,Assault,English-language films,Death,Murder,Natasha Lee,2006 singles,Mechanic,Rakht: What If You Can See the Future
KILL,Family,English-language films,Superintendent,Underworld,Crime,Gang,NaN,Rakshak
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rakta Bandhan
Family,Twin,Parent,Love-hate relationship,Pregnancy,Sibling,Father,Mother,Ram Aur Shyam
Family,Police,Parent,Constable,Mother,Andy Summers,The Police,Sibling,Ram Balram
Family,Marriage,The Police,Police,The Reward,Inspector,Maharana Pratap,Mother,Ram Lakhan
Ganges,Family,Gangotri,Uttarakhand,Varanasi,Haridwar,Patna,West Bengal,Ram Teri Ganga Maili
Love,Interpersonal relationship,Marriage,Woman,Friendship,Wife,Friends,Arithmetic mean,Ram-Avtar
Marriage,Wife,Husband,Domestic violence,Spouse,Family,Engagement,The Police,Rama Rama Kya Hai Drama
Marriage,Family,Love,Consanguinity,Chili pepper,Father,Affinity,NaN,Ramaiya Vastavaiya
Ramayana,Rama,Hanuman,Ravana,Vali,Characters in Ramayana,Sugriva,Sanskrit words and phrases,Ramayana: The Legend of Prince Rama
Marriage,Family,Cooking,Mahr,NaN,NaN,NaN,NaN,Ramji Londonwale
American films,Tod Browning,NaN,NaN,NaN,NaN,NaN,NaN,Ranbhoomi
Family,Factory,Interpersonal relationship,Love,Industrial Revolution,Birth order,Mother,NaN,Rang
Bhagat Singh,Revolutionary movement for Indian independence,Indian independence movement,India,Rang De Basanti,Hindustan Socialist Republican Association,Indian National Congress,Indian revolutionaries,Rang De Basanti
Indian film actors,Indian actors,Shilpa Shirodkar,Paresh Rawal,Hindi film actors,Namrata Shirodkar,Dhadkan,Gaja Gamini,Rangbaaz
Actor,Film,National Film Registry,Acting,Bollywood,Movie theater,Narrative,Extra,Rangeela
Family,Mother,Father,Marriage,Parent,Afterlife,Plane,The Help,Rani Aur Lalpari
Prime minister,Suicide,Suicide methods,Plot,Prime Minister of the United Kingdom,NaN,NaN,NaN,Rann
Love,Murder,Interpersonal relationship,Homicide,Manslaughter,Friendship,NaN,NaN,Raqeeb
Bank,Robbery,Anthony Gonsalves,The Robbers,Money,Theft,Battery,NaN,Rascals
Family,Marriage,Engagement,NaN,NaN,NaN,NaN,NaN,Ready
Mental retardation,Marriage,Murder,Shock,English-language films,NaN,NaN,NaN,Red Rose
English-language films,Female,Telephone call,Telephone number,Gender,Male,Modus operandi,KILL,Red Swastik
Love,Song,Writing,Romance,Occupations in music,Interpersonal attraction,City,Personal life,Rehguzar
Security,British Empire,Police,National security,Criminal law,Crime,Indian films,Physical security,Return of Jewel Thief
Illegal drug trade,Mumbai,India,Culture of India,Humour,Indian independence movement,Indian National Congress,Woman,Revati
Politics,Love,Want,Need,Political party,India,English-language films,Roger Dean,Revolver Rani
Friendship,English-language films,Right Yaaa Wrong,Hindi-language films,Indian films,Debut albums,Jacqueline Wilson,Interpersonal relationship,Right Yaaa Wrong
Woman,Gender,Female,Man,Childbirth,Male,Wife,Gender role,Rihaee
Marriage,Suicide,English-language films,Family,Ireland,The Quarrel,Guilt,Dance,Rishta To Ho Aisa
Police,Constable,Murder,Police officer,Underworld,Police brutality,The Police,KILL,Risk
1997 albums,National Film Registry,NaN,NaN,NaN,NaN,NaN,NaN,Riyasat
Travel,Assault,Attack,Attack!,Marriage,Tata Motors,Rajasthan,Traveler,Road
Movie projector,Film,Movie theater,Debut albums,God,Automobile,Petroleum,Columbia Records albums,Road Movie
Mohandas Karamchand Gandhi,Satyagraha,Ahimsa,Rock music,Ford Flathead engine,Bhagat Singh,Trade union,Picketing,Road to Sangam
Love,Dilwale Dulhania Le Jayenge,English-language films,Gang,Charlie's Angels,NaN,NaN,NaN,Roadside Romeo
The Band,Rock music,Birthday party,The Contest,Bob Dylan,NaN,NaN,NaN,Rock On!!
Verona Arena,Nizamuddin Dargah,Verona,NaN,NaN,NaN,NaN,NaN,Rockstar
Mother,Family,English-language films,Father,Parent,Mother goddess,Nuclear family,Wife,Rocky
KILL,Father,Family,Prosecutor,NaN,NaN,NaN,NaN,Rocky  The Rebel
Murder,KILL,NaN,NaN,NaN,NaN,NaN,NaN,Rog
India,Marriage,Tamil Nadu,Santosh Sivan,Family,Kashmir,Jammu and Kashmir,Pakistan,Roja
High school,College,Grammar school,Vocational school,Education,NaN,NaN,NaN,Rok Sako To Rok Lo
Family,Love,Immigration,Wife,Illegal immigration,Immigration to the United States,Marriage,Meantime,Romance
Love,States and territories of India,Marriage,Yamuna,Punjabi language,Uttar Pradesh,Hindi,Interpersonal relationship,Roohi
Love,Poison,Girl,Boy,NaN,NaN,NaN,NaN,Rootha Na Karo
Capital punishment,School,Teacher,Education,Sting,English-language films,Hindi-language films,Escape,Roti
The Goon Show,Police,Peter Sellers,NaN,NaN,NaN,NaN,NaN,Rowdy Rathore
Film,Film director,Movie theater,Love,NaN,NaN,NaN,NaN,Roy
Death,Marriage,Mother,Villager,James Newton Howard,Family,The Plague,NaN,Rudaali
Rama,Sanskrit words and phrases,Ramayana,Japa,Paranormal,Ravana,Supernatural,Rakshasa,Rudraksh
Indian actors,Hindi film actors,Agneepath,Indian film actors,Filmfare Awards winners,Dance Dance,National Film Award for Best Actor,Disco Dancer,Rukhsat
Raja Ravi Varma,George Costanza,Love,Cosmo Kramer,Mother,Corporation,NaN,NaN,Rupaye Dus Karod
Debut albums,Play,Game,Life,Oprah Winfrey,Religion,Talk show,The Point,Rush
Interpersonal relationship,Love,Friendship,Affection,Virtue,Platonic love,Philia,Family,Saagar
Love,Pankaj Udhas,Romance,Woman,Truth,Interpersonal relationship,Lust,Coming out,Saajan
Death,Marriage,Wife,Family,Husband,Spouse,Life,Tabla,Saajan Chale Sasural
Marriage,Family,Friendship,Love,Arbitral tribunal,Arbitration,Interpersonal relationship,NaN,Saanch Ko Aanch Nahin
City,Developed environments,Urban area,NaN,NaN,NaN,NaN,NaN,Saanjh
Suicide,Suicide methods,NaN,NaN,NaN,NaN,NaN,NaN,Saaransh
Marriage,Love,English-language films,Family,Sibling,Husband,Torque,NaN,Saat Rang Ke Sapne
Family,Love,Son,Materialism,Extended family,Satish Shah,Publishing,Wealth,Saath Saath
Crime,KILL,Gang,Criminology,Gangster,Assassination,Sociology,Assault,Saathi
Love,Marriage,Interpersonal relationship,Prediction,2006 singles,Future,Die,Death,Saawan... The Love Season
Bar association,Still Waiting...,Prostitution,Lillian Gish,NaN,NaN,NaN,NaN,Saawariya
Death,Afterlife,Near death experience,The Help,Crashed,Akash missile,Crash Bandicoot,NaN,Saaya
Love,Alistair MacLean,Luxury yacht,United States,Yacht,Romance,Mechanic,The Golden Rendezvous,Saazish
KILL,English-language films,Lou Reed,American films,The Killers,Meantime,Killing vector field,Children Act 1989,Saboot
Marriage,KILL,Murder,Year of birth missing,Amitabh Bachchan,1985 births,Vijay Kumar,Inspector,Sabse Bada Khiladi
Theft,Police,Family,Sibling,Mumbai,Marriage,The Real,James Newton Howard,Sachaa Jhutha
Wicca,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sacred Evil  A True Story
English-language films,American films,Sexually transmitted disease,Taxi Driver,Spend the Night,The Cop,The Help,Escape,Sadak
Beer,2002 albums,PlayStation Network,Bottles,NaN,NaN,NaN,NaN,Sadda Adda
Caste system in India,Caste,Hinduism,Endogamy,India,Discrimination,Family,The Table,Sadgati
Amnesia,Hippocampus,Retrograde amnesia,Prostitution,Doctor,Anterograde amnesia,NaN,NaN,Sadma
Love,Physician,Suicide,Suicide methods,Family,Marriage,Medicine,Shekhar Kapur,Safar (film)
Gold,Money,The Animals,Bullion coin,Family,Elephant,Village,NaN,Safed Haathi
Sri Lanka,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sagina
India,Official,President,Ecclesiastical titles,Corruption,Positions of authority,President of the United States,Year of birth missing,Saheb Bahadur
Dance Dance,Indian film actors,Jallaad,NaN,NaN,NaN,NaN,NaN,Sahhas
2000s music groups,Village,Success,The Road,ARIA Charts,Who Wants to Be a Millionaire?,NaN,NaN,Sahi Dhandhe Galat Bande
KILL,Marriage,Husband,Family,Love,Wife,Crime,Killing vector field,Sailaab
Family,Love,Marriage,Officer,Audience,Son,Mini,Officer,Sainik
Crime,Criminal law,Love,NaN,NaN,NaN,NaN,NaN,Salaakhen
Tehran,Family,Mother,Boy,NaN,NaN,NaN,NaN,Salaam Bacche
Drug,Illegal drug trade,Prostitution,Drug addiction,Heroin,Money,Cannabis,TheStart,Salaam Bombay!
Marriage,Love,Pregnancy,Salaam Namaste,NaN,NaN,NaN,NaN,Salaam Namaste
India,Village,Community,Member of Parliament,Maharashtra,States and territories of India,Gujarat,NaN,Samar
KILL,Murder,Glasses,Book of Optics,Evidence,Killer,Victim,Crime scene,Samay: When Time Strikes
Shabana Azmi,Balraj Sahni,NaN,NaN,NaN,NaN,NaN,NaN,Sameera
Royal Navy,Cargo,Good and evil,Shipping,Innocence,Quest,Love,Truth,Samraat
Leading,Death,Reason,Mystery film,Maharana Pratap,Reason,Typography,NaN,Samrat & Co.
Family,Father,Marriage,Sibling,Mother,NaN,NaN,NaN,Sanam
Marriage,Love,Engagement,Andhra Pradesh,Singing,Emotion,Visakhapatnam,The Climax,Sanam Tere Hain Hum
Reena Roy,Indian films,Indian actors,Hindi-language films,Family,1970 births,1957 births,Unfortunately,Sanam Teri Kasam
Family,Marriage,Love,Adultery,Hinduism,Alimony,Philosophy of love,Mother,Sanjog
Marriage,Family,NaN,NaN,NaN,NaN,NaN,NaN,Sankalp
Feudalism,Interpersonal relationship,NaN,NaN,NaN,NaN,NaN,NaN,Sannata
Woman,Gender,Female,Male,Marriage,Question,Interrogative word,Sex,Sanshodhan
Family,Mother,NaN,NaN,NaN,NaN,NaN,NaN,Santaan
Marriage,Brahman,Hinduism,Yoga,Bhagavad Gita,Hindu,Krishna,Family,Sanyasi
Game,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sanyasi Mera Naam
Sacrifice,Marriage,Family,Confession,Love,Father,Nun,NaN,Sapnay
Family,Alka Yagnik,Son,Daughter,Love,Kumar Sanu,1942: A Love Story,Udit Narayan,Sapne Sajan Ke
Childhood,Marriage,Personal life,Chu Chin Chow,Child,NaN,NaN,NaN,Sapnon Ka Mandir
Family,Outlaw,Capital punishment,Crime,Drug addiction,Gang,NaN,NaN,Sapoot
Gujarat,Sardar Vallabhbhai Patel,Indian independence movement,Indian National Congress,Mohandas Karamchand Gandhi,Quit India Movement,British Raj,Partition of India,Sardar
Mass media,Black-and-white films,Family,Book of Revelation,Learning,Heavy metal music,Rock music,Christianity,Sardari Begum
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sarfarosh
Murder,Assault,Homicide,NaN,NaN,NaN,NaN,NaN,Sarkar
Maharashtra,Aishwarya Rai,KILL,BLAST,NaN,NaN,NaN,NaN,Sarkar Raj
Murder,Amitabh Bachchan,Capital punishment,NaN,NaN,NaN,NaN,NaN,Sarkari Mehmaan
Management,Man,NaN,NaN,NaN,NaN,NaN,NaN,Satrangee Parachute
Domestic violence,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Satta
Love,English-language films,Family,American films,Lions Gate Entertainment,Black-and-white films,Sibling,NaN,Satte Pe Satta
Gang,Crime,Organized crime,Gangs,Mara Salvatrucha,American Mafia,NaN,NaN,Satya
Suicide,Krishna,Suicide methods,Government,Paramilitary,Strike and dip,Murder,Militia,Satyagraha
Marriage,Love,Family,Mother,Sexual intercourse,Infidelity,Wife,Human sexuality,Satyam Shivam Sundaram
American films,Black-and-white films,Mumbai,Police brutality,Death,Murder,Man,Police,Satyamev Jayate
Love,Marriage,Debut albums,Murder,NaN,NaN,NaN,NaN,Sau Crore
Marriage,Divorce,NaN,NaN,NaN,NaN,NaN,NaN,Saudagar
Family,Marriage,Love,Sibling,American films,Uttarakhand,Romance,English-language films,Saugandh
Jeffrey Combs,Love,Family,Marriage,Power,Powerful number,RAI,Police,Sawaal
KILL,Family,Theft,Suicide,Marriage,Automobile,Looting,Suicide methods,Sawan Bhadon
Love,Marriage,Family,Interpersonal relationship,Friendship,Hindi,Plot,Sibling,Sawan Ko Aane Do
Love,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Say Yes to Love
Marriage,Alimony,Divorce,Love,Debut albums,Need,Want,Wife,Second Hand Husband
Uttar Pradesh,Crime,Police,Superintendent,Officer,Constable,NaN,NaN,Sehar
Marriage,Love,Adultery,Wife,Husband,Spouse,Interpersonal relationship,Family,Shaadi Ka Laddoo
Family,Marriage,Hotel,Pregnancy,Family,Childbirth,NaN,NaN,Shaadi Ke Side Effects
Marriage,Family,Love,Arranged marriage,Engagement,At First Sight,Human sexuality,NaN,Shaadi Se Pehle
KILL,Man,Riot Act,Swindle,Indian Hindus,The Trio,Shiva,Swindler,Shaan
Marriage,Verbal abuse,Abuse,Physical abuse,Bullying,Psychological abuse,Family,Arora,Shaandaar
Royal family,Spirit,Curse,Soul,Ranjit Singh,Hell,The Ashes,Andreas Wilson,Shaapit
Lawyer,Morphine,Accept,Marriage,The Corridor,Union Station,NaN,NaN,Shaayad
Suicide,Schizophrenia,Major depressive disorder,Bipolar disorder,Man Booker Prize,Marriage,Mental disorder,The Complete Manual of Suicide,Shabd
Crime,KILL,Inspector,Sub-Inspector,Gang,Police station,English-language films,Gangster,Shabri
Aaj Tak,Gang,Hanumant Singh,KILL,NaN,NaN,NaN,NaN,Shagird
Crime,The Police,Suicide,Rock music,Sting,NaN,NaN,NaN,Shaitan
Titles in India,Iblis,Thakur,Devil,Marriage,NaN,NaN,NaN,Shaitani Ilaaka
Music,ARIA Charts,Anupam Kher,Love,Disco,Black Eyed Peas,NaN,NaN,Shakalaka Boom Boom
Police,Family,KILL,Constable,Man,The Police,Murder,Boy,Shakti
Theft,Ruby,Sikh,Display case,Place,Island,Crime,Count,Shalimar
Actor,Bollywood,Film,Muteness,MUTE,Danish language,Security guard,Human voice,Shamitabh
Family,English-language films,Religion,Faith,Islam,Cousin,Sibling,Proposal,Shanakht
President,Cabinet,Political party,The Goon Show,Board of directors,NaN,NaN,NaN,Shanghai
Uday Shankar,Family,Love,Doctor Who,Ravi Shankar,Marriage,NaN,NaN,Shankar Hussain
Narrative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Shapath
Narrative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Shapath (1997 film)
Family,Love,Marriage,Question,Black-and-white films,English-language films,NaN,NaN,Sharaabi
Money laundering,Money,Underground economy,Paul Newman,Bookkeeping,NaN,NaN,NaN,Sharafat Gayi Tel Lene
Bill Clinton,Old age,Prison,Citizenship,Hand,Bribery,Law,English-language films,Shararat
Girl,Female,Debut albums,United States Army,Woman,Boy,Emotion,The Stage,Sharmeelee
Love,Accept,Marriage,Suicide,Bipolar disorder,Challenge,At First Sight,Interpersonal relationship,Shart: The Challenge
Murder,Homicide,Indian films,Manslaughter,Truth,NaN,NaN,NaN,Shastra
Marriage,Family,Love,Wife,Mithun Chakraborty,Husband,English-language films,Alimony,Shatranj
Indian films,Son,Asha Bhosle,NaN,NaN,NaN,NaN,NaN,Shaukeen
Military rank,Military ranks,Major,Captain,Girl,The Accused,NaN,NaN,Shaurya
SAVE,Marriage,Family,Lunar eclipse,English-language films,NaN,NaN,NaN,Sheahnaag
United States,KILL,Marriage,Love,Killing vector field,Sibling,English-language films,Truth,Sheesha
Crime,Illegal drug trade,Gang,Organized crime,Criminology,Sociology,Alter ego,"Id, ego, and super-ego",Shera
Suicide,The Wrong Man,NaN,NaN,NaN,NaN,NaN,NaN,Shikari
Stephen Schwartz,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Shikari: The Hunter
Building,Love,TRICK,John Abraham,According to Jim,Bad Religion,NaN,NaN,Shikhar
Organ,Plato,Kidney,Liver,Ontology,Renin,Peritoneum,Offal,Ship of Theseus
Family,Marriage,American films,English-language films,Two and a Half Men,Proposal,TheStart,Dream,Shirin Farhad Ki Toh Nikal Padi
Police,Law,NaN,NaN,NaN,NaN,NaN,NaN,Shiv Ram
The Goon Show,University,Parvati,Vaishnavism,Hinduism,Maharashtra,Student,Sanskrit words and phrases,Shiva
City,Ghost,NaN,NaN,NaN,NaN,NaN,NaN,Shodh
Love,English-language films,Family,Marriage,Cadet,Lie,Star Trek: Deep Space Nine,NaN,Shola Aur Shabnam
Crime,Gang,Gun,Village,Village,Dynamite,NaN,NaN,Sholay
Crime,Gang,Gun,Village,Village,Dynamite,NaN,NaN,Sholay 3D
Inspector,Sub-Inspector,Police,Police station,Superintendent,The Police,Rajput,Rajasthan,Shool
Shootout at Lokhandwala,Lokhandwala Complex,Mumbai Police,Maya Dolas,Police,1991 Lokhandwala Complex shootout,Terrorism,SWAT,Shootout at Lokhandwala
KILL,The Goon Show,NaN,NaN,NaN,NaN,NaN,NaN,Shootout at Wadala
Ganesh Chaturthi,Maharashtra,Mumbai,India,Cricket,Board of Control for Cricket in India,Indian Premier League,Backyard cricket,Shor in the City
Krishna,Balarama,Devaki,Kamsa,Vasudeva,Family,Yasoda,People related to Krishna,Shri Krishna Leela
Family,Household,Mother,World,NaN,NaN,NaN,NaN,Shriman Shrimati
Marriage,Wedding,Love,Arranged marriage,Family,Alimony,Courtship,Cohabitation,Shuddh Desi Romance
Family,Marriage,Meet Joe Black,Wife,Husband,Wealth,Hinduism,Widow inheritance,Shukriya
Love,Marriage,Family,Wedding,Bullying,Sibling,Anger,Salon des Refusés,Sikka
Marriage,Love,Tram accident,Adultery,Family,Husband,Romance,Accident,Silsila
Marriage,Indian film actors,Hindi film actors,Indian actors,The Climax,NaN,NaN,NaN,Sindoor
Family,Love,Mother,The Goon Show,Mafia,NaN,NaN,NaN,Singh Is Bliing
Love,Gang,Manmohan Singh,KILL,Village,NaN,NaN,NaN,Singh Is Kinng
Inspector,Police officer,Police,Constable,Sub-Inspector,Police brutality,Police station,Chief Inspector,Singham
Truth,Resignation,The Wounded,NaN,NaN,NaN,NaN,NaN,Singham Returns
Marriage,Love,Family,Gangster,Student,Wish,Al Capone,NaN,Sir
English-language films,Problem solving,City,American films,Metropolitan area,2008 singles,American Broadcasting Company,Problem,Sirf
Family,Woman,Wife,Attraction,Marriage,Education,Interpersonal attraction,Govinda,Sirf Tum
Recovery model,ARIA Charts,Mental disorder,Psychiatric hospital,Mental health,Destiny's Child,Patient,NaN,Sitam
Film,Actor,Town,Dance,NaN,NaN,NaN,NaN,Sitara
Suicide,Suicide methods,Man Booker Prize,Mother,Pregnancy,Parent,Parasuicide,Who Wants to Be a Millionaire?,Sixteen
Marriage,Wife,2006 albums,English-language films,Award,Affair,Husband,Awards,Soch
Marriage,Love,Family,Engagement,ARIA Charts,Arranged marriage,Wedding,Conversation,Socha Na Tha
Mars,Love,NaN,NaN,NaN,NaN,NaN,NaN,Sohni Mahiwal
KILL,Smuggling,Year of birth missing,Crime,The Police,Maharana Pratap,NaN,NaN,Soldier
Mental retardation,Kulbhushan Kharbanda,NaN,NaN,NaN,NaN,NaN,NaN,Solva Sawan
Family,Punjab region,KILL,Punjabi language,Punjab,Pakistan,Jalandhar,Punjab,Son Of Sardaar
Theft,Larceny,Arjuna Award,Burglary,Robbery,NaN,NaN,NaN,Sone Pe Suhaaga
Family,Love,Marriage,Son,Love Affair,Everlasting Love,NaN,NaN,Sooryavansham
Marriage,Time,Family,Travel,Love,Anger,Hell Breaks Loose,Mother,Sorry Bhai!
Homelessness,Poverty,Black-and-white films,Begging,NaN,NaN,NaN,NaN,Sorry Daddy
Family,Interpersonal relationship,Marriage,Love,Mother,Father,The Climax,Nuclear family,Souten
Sikh,Ice hockey,Turban,Headgear,Hockey,Rossall School,NaN,NaN,Speedy Singhs
Killer,Inspector,Inspector Clouseau,The Killer Is Loose,Murder,NaN,NaN,NaN,Sssshhh...
Woman,Gammat Jammat,Advertising,Year of birth missing,Indian actors,Indian television actors,Marathi film actors,Jigyaasa,Ssukh
School,Lunch,Restaurant,Packed lunch,Meal,NaN,NaN,NaN,Stanley Ka Dabba
Employment,Rock music,Elvis Presley,Can't Help Falling in Love,American film actors,At-will employment,Shiva,Priscilla Presley,Star
Editing,Newspaper,Academy Award for Best Actor,Attack,Cardiology,Copy editing,Emergency department,Life,Staying Alive
Marriage,Engagement,Arranged marriage,Love,Comedy,India,Indian cuisine,Stand-up comedy,Straight
Childhood,Friendship,The Passion of the Christ,Man,Cue sports,NaN,NaN,NaN,Striker
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strings Of Passion
Family,Best Friends,Marriage,Flirting,Friendship,University,NaN,NaN,Student Of The Year
Marriage,Wife,Husband,Spouse,English-language films,NaN,NaN,NaN,Stumped
Marriage,Film editing,2000s American television series,Debut albums,Mystery fiction,NaN,NaN,NaN,Style
Crime,Police,Criminal law,Family,Son,KILL,Marriage,Theft,Suhaag
Mercedes-Benz,Karl Benz,Want,Stirling Moss,Mercedes-AMG,Daimler AG,Mika Häkkinen,Formula One,Suhana Safar
Intern,Internship,Psychiatry,Village,Political party,Physician,Politics,Elections,Summer 2007
Love,Marriage,Family,Interpersonal relationship,Friendship,NaN,NaN,NaN,Sun Sajna
Murder,KILL,English-language films,Double murder,Homicide,Family,NaN,NaN,Sunday
Marriage,Family,Human sexuality,Sexual intercourse,Hinduism,Wedding,Wife,Love,Sunny
English-language films,American films,Debut albums,International Marxist Tendency,Supermodel,Fashion,Billboard Hot Dance Club Songs number-one singles,Polynesia,Super Model
Truth,Truth or Dare?,Dream,NaN,NaN,NaN,NaN,NaN,Superstar
Singing,Vocal range,Star,Human voice,Opera,Stars,Vocal weight,Voice type,Sur: The Melody of Life
Action film,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Suraj
Shiva,English-language films,NaN,NaN,NaN,NaN,NaN,NaN,Surakshaa
Teacher,Virtue,Family,Love,Friendship,School,Interpersonal relationship,NaN,Sutradhar
Vikram Sarabhai,Vikram Sarabhai Space Centre,India,Hydroelectricity,Uttar Pradesh,Hindu,Delhi,Power,Swades
Orphan,Woman,Temple in Jerusalem,NaN,NaN,NaN,NaN,NaN,Swami Dada
Family,English-language films,Sibling,Marriage,Theft,American films,NaN,NaN,Swarg
Bhrashtachar,Shilpa Shirodkar,Ramesh Sippy,Family,Namrata Shirodkar,Aankhen,Son,Swarg Narak,Swarg Yahan Narak Yahan
Auto racing,Race,Formula One,Mazda Raceway Laguna Seca,Racing,Race track,NaN,NaN,Ta Ra Rum Pum
Disability,Dyslexia,Teacher,Education,NaN,NaN,NaN,NaN,Taare Zameen Par
Family,Mother,Truth,NaN,NaN,NaN,NaN,NaN,Taarzan: The Wonder Car
Question,Abuse,Aftermath Entertainment,Hazing,English-language films,Wedding anniversary,Ragging,The Target,Table No. 21
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Tadap
Terrorism,Mule,Anupam Kher,NaN,NaN,NaN,NaN,NaN,Tahaan
United States Army,India,Major,U.S. uniformed services pay grades,KILL,United States Marine Corps,Military ranks,NaN,Tahalka
Death,Suicide,Family,Twin,Christianity,Bishop,Priest,Catholic Church,Tahqiqaat
Mughal Empire,Shah Jahan,Agra,Taj Mahal,Mumtaz Mahal,Lahore,Nur Jahan,Aurangzeb,Taj Mahal: An Eternal Love Story
Family,Illegal drug trade,Tax avoidance and tax evasion,Sibling,Crime,Smuggling,Snakehead,KILL,Takkar
Blackmail,Death,Extortion,The Police,Tram accident,Inspector,The Road,NaN,Talaash
Family,Father,Unfortunately,Mother,NaN,NaN,NaN,NaN,Talaash: The Hunt Begins...
2008,Murder,Constable,Police,Criminal Investigation Department,Detective,Chief of police,Double murder,Talvar
The Run,KILL,The Police,Law,Summer,Mother,Maharana Pratap,High school,Tamacha
Love,Psychosis,NaN,NaN,NaN,NaN,NaN,NaN,Tamasha
Indo-Pakistani War of 1965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Tango Charlie
Marriage,Love,Family,Bride kidnapping,Wedding,Father,Sari,NaN,Tanu Weds Manu
Marriage,Infant,Family,Love,Pregnancy,Wedding,NaN,NaN,Tanu Weds Manu Returns
Indian film actors,Hindi film actors,Indian actors,Filmfare Awards winners,NaN,NaN,NaN,NaN,Taqdeer
Indian actors,Indian film actors,NaN,NaN,NaN,NaN,NaN,NaN,Taqdeer Ka Badshah
Family,Criminal law,NaN,NaN,NaN,NaN,NaN,NaN,Taqdeer Ka Tamasha
University,Student,Police,NaN,NaN,NaN,NaN,NaN,Taraazu
Mithun Chakraborty,Ravikant Nagaich,NaN,NaN,NaN,NaN,NaN,NaN,Tarkeeb
English-language films,American films,Criminal Investigation Department,The Killer Is Loose,Killer,Murder,Missing person,The Police,Tarkieb
Love,Money,KILL,Automobile,NaN,NaN,NaN,NaN,Tashan
Cricket World Cup,Organ transplant,President,Gun,President of the United States,Sentence,NaN,NaN,Tathastu
Priyanka Chopra,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Taxi Chor
