Charc,Movie,NewChar
",Paresh Rawal,Sunil Shetty,Akshay Kumar,Priyadarshan,Anu Malik",Hera Pheri,"['Paresh Rawal', 'Sunil Shetty', 'Akshay Kumar', 'Priyadarshan', 'Anu Malik']"
",Kay Kay Menon,Jackie Shroff,Zakir Hussain",Satrangee Parachute,"['Kay Kay Menon', 'Jackie Shroff', 'Zakir Hussain']"
",Saif Ali Khan,Prakash Jha,Amitabh Bachchan,Manoj Bajpai,Deepika Padukone",Aarakshan,"['Saif Ali Khan', 'Prakash Jha', 'Amitabh Bachchan', 'Manoj Bajpai', 'Deepika Padukone']"
",Mithun Chakraborty,Johnny Lever,T. L. V. Prasad,Sadashiv Amrapurkar",Do Numbri,"['Mithun Chakraborty', 'Johnny Lever', 'T. L. V. Prasad', 'Sadashiv Amrapurkar']"
",Hrithik Roshan,Rakesh Roshan,Ameesha Patel,Rajesh Roshan,Anupam Kher,Shivarajkumar,Farah Khan,Anupama Chopra",Kaho Naa... Pyaar Hai,"['Hrithik Roshan', 'Rakesh Roshan', 'Ameesha Patel', 'Rajesh Roshan', 'Anupam Kher', 'Shivarajkumar', 'Farah Khan', 'Anupama Chopra']"
",Sunny Leone,Meera,Bhushan Kumar,Rahul Dev",Ek Paheli,"['Sunny Leone', 'Meera', 'Bhushan Kumar', 'Rahul Dev']"
",Amit Sharma,Shruti Haasan,Sanjay Kapoor",Tevar,"['Amit Sharma', 'Shruti Haasan', 'Sanjay Kapoor']"
",Mother Mary,Gemini Ganesan,Kamal Haasan,K. R. Vijaya,Jesus,G. Devarajan,Kannadasan",Mata Velankanni,"['Mother Mary', 'Gemini Ganesan', 'Kamal Haasan', 'K. R. Vijaya', 'Jesus', 'G. Devarajan', 'Kannadasan']"
",Mangal Pandey,Aamir Khan,Farrukh Dhondy,A. R. Rahman,Javed Akhtar,Kirron Kher",Mangal Pandey: The Rising,"['Mangal Pandey', 'Aamir Khan', 'Farrukh Dhondy', 'A. R. Rahman', 'Javed Akhtar', 'Kirron Kher']"
",Naseeruddin Shah,Girish Kasaravalli,Rohini Hattangadi",Ek Ghar,"['Naseeruddin Shah', 'Girish Kasaravalli', 'Rohini Hattangadi']"
",Jennifer Winget",Saanjh,['Jennifer Winget']
",Rani Mukherji,Amit Trivedi,Prithviraj Sukumaran,Madhuri Dixit,Juhi Chawla",Aiyyaa,"['Rani Mukherji', 'Amit Trivedi', 'Prithviraj Sukumaran', 'Madhuri Dixit', 'Juhi Chawla']"
",Kareena Kapoor,Imran Khan,Rishi Kapoor,Woody Allen,Hiroo Yash Johar,Ratna Pathak Shah,Boman Irani,Karan Johar,Amit Trivedi",Ek Main Aur Ekk Tu,"['Kareena Kapoor', 'Imran Khan', 'Rishi Kapoor', 'Woody Allen', 'Hiroo Yash Johar', 'Ratna Pathak Shah', 'Boman Irani', 'Karan Johar', 'Amit Trivedi']"
",Bappi Lahiri,Saeed Jaffrey,Urmila Matondkar,Satish Shah,Rohini Hattangadi,Shabana Azmi,Marc Zuber",Bhavna,"['Bappi Lahiri', 'Saeed Jaffrey', 'Urmila Matondkar', 'Satish Shah', 'Rohini Hattangadi', 'Shabana Azmi', 'Marc Zuber']"
