Charc,Movie,NewChar
",Rohit Roy,Feroz Khan,Fardeen Khan,Koena Mitra,Jehangir,Shabbir Ahmed,Gulshan Grover",Ek Khiladi Ek Haseena,"['Rohit Roy', 'Feroz Khan', 'Fardeen Khan', 'Koena Mitra', 'Jehangir', 'Shabbir Ahmed', 'Gulshan Grover']"
",Aristotle,Queen Elizabeth I,Harry Houdini,Hans Christian Andersen,Jean Piaget",Entertainment,"['Aristotle', 'Queen Elizabeth I', 'Harry Houdini', 'Hans Christian Andersen', 'Jean Piaget']"
",Kanti Shah,Mithun Chakraborty,Anand Raj Anand,Chetan Bhagat,Shakti Kapoor,Mukesh Rishi",Gunda,"['Kanti Shah', 'Mithun Chakraborty', 'Anand Raj Anand', 'Chetan Bhagat', 'Shakti Kapoor', 'Mukesh Rishi']"
",Anubhav Mohanty",Anubhav,['Anubhav Mohanty']
",Rani Padmini",Aashiq,['Rani Padmini']
",Mithun Chakraborty,Rati Agnihotri,Danny Denzongpa,T. Rama Rao",Mujhe Insaaf Chahiye,"['Mithun Chakraborty', 'Rati Agnihotri', 'Danny Denzongpa', 'T. Rama Rao']"
",Farhan Akhtar,Deepika Padukone,Javed Akhtar,Ram Kapoor,Shefali Shah,Karsh Kale,Ritesh Sidhwani,Anupama Chopra",Karthik Calling Karthik,"['Farhan Akhtar', 'Deepika Padukone', 'Javed Akhtar', 'Ram Kapoor', 'Shefali Shah', 'Karsh Kale', 'Ritesh Sidhwani', 'Anupama Chopra']"
",Ravi Tandon,Rishi Kapoor,Neetu Singh",Jhoota Kahin Ka,"['Ravi Tandon', 'Rishi Kapoor', 'Neetu Singh']"
",Badshah Khan,Amitabh Bachchan,Inspector Aziz Mirza,Sridevi,Mukul S. Anand,Danny Denzongpa,Shilpa Shirodkar,Akkineni Nagarjuna,Anand Bakshi,Sanjay Dutt",Khuda Gawah,"['Badshah Khan', 'Amitabh Bachchan', 'Inspector Aziz Mirza', 'Sridevi', 'Mukul S. Anand', 'Danny Denzongpa', 'Shilpa Shirodkar', 'Akkineni Nagarjuna', 'Anand Bakshi', 'Sanjay Dutt']"
",Mithun Chakraborty,Kader Khan",Sanyasi Mera Naam,"['Mithun Chakraborty', 'Kader Khan']"
",Supriya Pathak,Raj Babbar,Hrishikesh Mukherjee,Rekha,Amol Palekar,Deven Verma",Jhoothi,"['Supriya Pathak', 'Raj Babbar', 'Hrishikesh Mukherjee', 'Rekha', 'Amol Palekar', 'Deven Verma']"
",Rakeysh Omprakash Mehra,A. R. Rahman,Aamir Khan,Prasoon Joshi,Kunal Kapoor",Rang De Basanti,"['Rakeysh Omprakash Mehra', 'A. R. Rahman', 'Aamir Khan', 'Prasoon Joshi', 'Kunal Kapoor']"
",Bappi Lahiri,Vijay Arora",Aakhri Cheekh,"['Bappi Lahiri', 'Vijay Arora']"
",Amitabh Bachchan,Dhanush,Abhishek Bachchan,Ilaiyaraaja,Mahesh Bhatt",Shamitabh,"['Amitabh Bachchan', 'Dhanush', 'Abhishek Bachchan', 'Ilaiyaraaja', 'Mahesh Bhatt']"
",Kamal Haasan,Thengai Srinivasan,Rajnikanth,Mohan",Aakhri Sangram,"['Kamal Haasan', 'Thengai Srinivasan', 'Rajnikanth', 'Mohan']"
",Pulkit Samrat,Manjot Singh,Richa Chadda",Fukrey,"['Pulkit Samrat', 'Manjot Singh', 'Richa Chadda']"
",Shivani,Rani Mukerji,Pradeep Sarkar",Mardaani,"['Shivani', 'Rani Mukerji', 'Pradeep Sarkar']"
",Henry IV,Charles Darwin,Robert Louis Stevenson,Cole Porter",Tom Dick And Harry,"['Henry IV', 'Charles Darwin', 'Robert Louis Stevenson', 'Cole Porter']"
",Anita Raj,Mithun Chakraborty,Parveen Babi",Karm Yudh,"['Anita Raj', 'Mithun Chakraborty', 'Parveen Babi']"
",Shakti Kapoor,Ayesha Takia,Vatsal Sheth,Farida Jalal,Gulshan Grover,Amrish Puri,Mukesh Tiwari,Himesh Reshammiya,Sadashiv Amrapurkar",Taarzan: The Wonder Car,"['Shakti Kapoor', 'Ayesha Takia', 'Vatsal Sheth', 'Farida Jalal', 'Gulshan Grover', 'Amrish Puri', 'Mukesh Tiwari', 'Himesh Reshammiya', 'Sadashiv Amrapurkar']"
",Nana Patekar,Sonali Kulkarni,Ramesh Sippy,Bappi Lahiri,Sameera Reddy",Taxi No. 9211,"['Nana Patekar', 'Sonali Kulkarni', 'Ramesh Sippy', 'Bappi Lahiri', 'Sameera Reddy']"
",Shreyas Talpade,Deepak Dobriyal,Rakeysh Omprakash Mehra,Yograj Singh,Sukhwinder Singh,Anupama Chopra,Daler Mehndi",Teen Thay Bhai,"['Shreyas Talpade', 'Deepak Dobriyal', 'Rakeysh Omprakash Mehra', 'Yograj Singh', 'Sukhwinder Singh', 'Anupama Chopra', 'Daler Mehndi']"
",Akbar",Rajput,['Akbar']
",Prem Chopra,Akshay Kumar,Mukesh Rishi,Kader Khan,Sunil Shetty,Kiran Kumar,Karishma Kapoor,Sonali Bendre,Johnny Lever",Sapoot,"['Prem Chopra', 'Akshay Kumar', 'Mukesh Rishi', 'Kader Khan', 'Sunil Shetty', 'Kiran Kumar', 'Karishma Kapoor', 'Sonali Bendre', 'Johnny Lever']"
",Ranbir Kapoor,Kabir,Deepika Padukone,Kalki Koechlin,Karan Johar,Ayan Mukerji,Anupama Chopra,Farooq Sheikh",Yeh Jawaani Hai Deewani,"['Ranbir Kapoor', 'Kabir', 'Deepika Padukone', 'Kalki Koechlin', 'Karan Johar', 'Ayan Mukerji', 'Anupama Chopra', 'Farooq Sheikh']"
",Mithun Chakraborty,Amrish Puri,Supriya Pathak,Saeed Jaffrey,Suresh Oberoi,Bharat Bhushan,Padmini Kolhapure,Shafi Inamdar,Shammi Kapoor,Deepak Parashar",Daata,"['Mithun Chakraborty', 'Amrish Puri', 'Supriya Pathak', 'Saeed Jaffrey', 'Suresh Oberoi', 'Bharat Bhushan', 'Padmini Kolhapure', 'Shafi Inamdar', 'Shammi Kapoor', 'Deepak Parashar']"
",Genghis Khan,Prince Milan Obrenović,Peter Maivia,Lord Lugard",Blood Brothers,"['Genghis Khan', 'Prince Milan Obrenović', 'Peter Maivia', 'Lord Lugard']"
",Twinkle Khanna,Akshay Kumar,Mukesh Khanna,Aadesh Shrivastava,Gulshan Grover,Vivek Shauq",International Khiladi,"['Twinkle Khanna', 'Akshay Kumar', 'Mukesh Khanna', 'Aadesh Shrivastava', 'Gulshan Grover', 'Vivek Shauq']"
",Amitabh Bachchan,Jaya Prada,Bappi Lahiri,Anupam Kher,Shabbir Kumar,Lata Mangeshkar",Aaj Ka Arjun,"['Amitabh Bachchan', 'Jaya Prada', 'Bappi Lahiri', 'Anupam Kher', 'Shabbir Kumar', 'Lata Mangeshkar']"
",Jugesh Akshay Kumar,Sajid Nadiadwala,Mithun Chakraborty,Malaika Arora Khan,Chunky Pandey,Shreyas Talpade,Shazahn Padamsee,Boman Irani,Sajid Khan,Virendra Saxena,Randhir Kapoor,Dara Singh,Rishi Kapoor",Housefull 2,"['Jugesh Akshay Kumar', 'Sajid Nadiadwala', 'Mithun Chakraborty', 'Malaika Arora Khan', 'Chunky Pandey', 'Shreyas Talpade', 'Shazahn Padamsee', 'Boman Irani', 'Sajid Khan', 'Virendra Saxena', 'Randhir Kapoor', 'Dara Singh', 'Rishi Kapoor']"
",Ram,Vinod Mehra,Moushumi Chatterjee,Jeetendra,S. Ramanathan,Madan Puri,Nirupa Roy",Kahani Ek Chor Ki,"['Ram', 'Vinod Mehra', 'Moushumi Chatterjee', 'Jeetendra', 'S. Ramanathan', 'Madan Puri', 'Nirupa Roy']"
",Manisha Koirala,Anil Kapoor,Rani Mukerji,Sudhir Mishra",Calcutta Mail,"['Manisha Koirala', 'Anil Kapoor', 'Rani Mukerji', 'Sudhir Mishra']"
",Ajay Devgan,Suresh Gopi,Madhoo,Hema Malini,Aruna Irani,Veeru Devgan,Kumar Sanu,Mammootty,Alisha Chinai,Anuradha Paudwal,Alka Yagnik,Udit Narayan",Phool,"['Ajay Devgan', 'Suresh Gopi', 'Madhoo', 'Hema Malini', 'Aruna Irani', 'Veeru Devgan', 'Kumar Sanu', 'Mammootty', 'Alisha Chinai', 'Anuradha Paudwal', 'Alka Yagnik', 'Udit Narayan']"
",Dev Anand,Aamir Khan,Aditya Pancholi,Bappi Lahiri,Vikram Singh,Asha Bhosle,Amit Kumar,Udit Narayan",Awwal Number,"['Dev Anand', 'Aamir Khan', 'Aditya Pancholi', 'Bappi Lahiri', 'Vikram Singh', 'Asha Bhosle', 'Amit Kumar', 'Udit Narayan']"
",Amit Trivedi,Habib Faisal,Aditya Chopra,Anu Malik",Ishaqzaade,"['Amit Trivedi', 'Habib Faisal', 'Aditya Chopra', 'Anu Malik']"
",Bobby Deol,Akshay Kapoor,Nana Patekar",Ek: The Power of One,"['Bobby Deol', 'Akshay Kapoor', 'Nana Patekar']"
",Mithun Chakraborty,Shilpa Shirodkar,Farah Naaz,S. A. Chandrasekhar",Jeevan Ki Shatranj,"['Mithun Chakraborty', 'Shilpa Shirodkar', 'Farah Naaz', 'S. A. Chandrasekhar']"
",Mithun Chakraborty,Bindiya Goswami,Ashim Samanta",Aamne Samne,"['Mithun Chakraborty', 'Bindiya Goswami', 'Ashim Samanta']"
",Aamir Khan,Riyaz Khan,Shah Rukh Khan,A. R. Rahman,Memento Mori,Allu Aravind,Tinnu Anand",Ghajini,"['Aamir Khan', 'Riyaz Khan', 'Shah Rukh Khan', 'A. R. Rahman', 'Memento Mori', 'Allu Aravind', 'Tinnu Anand']"
",Aamir Khan",Afsana Pyaar Ka,['Aamir Khan']
",Rekha",Ghungroo Ki Awaaz,['Rekha']
",Anita Raj,Jeetendra,Rekha,Dasari Narayana Rao,Sobhan Babu,Kader Khan",Mehndi Rang Layegi,"['Anita Raj', 'Jeetendra', 'Rekha', 'Dasari Narayana Rao', 'Sobhan Babu', 'Kader Khan']"
",Vishal Bhardwaj,Françoise Sagan,Ingrid Bergman,Sonali Kulkarni,Anthony Perkins",Jahan Tum Le Chalo,"['Vishal Bhardwaj', 'Françoise Sagan', 'Ingrid Bergman', 'Sonali Kulkarni', 'Anthony Perkins']"
",Vinod Khanna,Prakash Mehra,Amitabh Bachchan,Amjad Khan,Kishore Kumar,Shreeram Lagoo",Muqaddar Ka Sikander,"['Vinod Khanna', 'Prakash Mehra', 'Amitabh Bachchan', 'Amjad Khan', 'Kishore Kumar', 'Shreeram Lagoo']"
",don Sadhu Yadav,Amit Kumar,Mukesh Tiwari,Prakash Jha,Anupama Chopra,Gracy Singh,Mohan Agashe,Priyanka Chopra,Yashpal Sharma",Gangaajal,"['don Sadhu Yadav', 'Amit Kumar', 'Mukesh Tiwari', 'Prakash Jha', 'Anupama Chopra', 'Gracy Singh', 'Mohan Agashe', 'Priyanka Chopra', 'Yashpal Sharma']"
",Anita Raj,Tatineni Rama Rao,Dharmendra,Krishnam Raju,Kader Khan,Anupam Kher,Shakti Kapoor,Prem Chopra,Rajinikanth,Shreeram Lagoo",Insaf Ki Pukar,"['Anita Raj', 'Tatineni Rama Rao', 'Dharmendra', 'Krishnam Raju', 'Kader Khan', 'Anupam Kher', 'Shakti Kapoor', 'Prem Chopra', 'Rajinikanth', 'Shreeram Lagoo']"
",Ajay Sharma,Madan Chopra,Shah Rukh Khan,Salman Khan,Priyanka Chopra,Anu Malik,Shilpa Shetty,Kajol,Salim Khan,Dr. Alban,Sridevi",Baazigar,"['Ajay Sharma', 'Madan Chopra', 'Shah Rukh Khan', 'Salman Khan', 'Priyanka Chopra', 'Anu Malik', 'Shilpa Shetty', 'Kajol', 'Salim Khan', 'Dr. Alban', 'Sridevi']"
",Prashanta Nanda,Ravindra Jain",Naiyya,"['Prashanta Nanda', 'Ravindra Jain']"
",Taslima Nasrin",Lajja,['Taslima Nasrin']
",Basu Bhattacharya,Rekha,Daisy Irani,Om Puri",Aastha: In the Prison of Spring,"['Basu Bhattacharya', 'Rekha', 'Daisy Irani', 'Om Puri']"
",Kabir Khan,Aditya Chopra,Salman Shahid,Arshad Warsi,John Abraham",Kabul Express,"['Kabir Khan', 'Aditya Chopra', 'Salman Shahid', 'Arshad Warsi', 'John Abraham']"
",Mugdha Godse,Sneha Ullal,Rekha",Bezubaan,"['Mugdha Godse', 'Sneha Ullal', 'Rekha']"
",Ram,Yugo Sako",Ramayana: The Legend of Prince Rama,"['Ram', 'Yugo Sako']"
",Om Puri,Annu Kapoor,Hrishita Bhatt,Sanjay Mishra",Miss Tanakpur Haazir Ho,"['Om Puri', 'Annu Kapoor', 'Hrishita Bhatt', 'Sanjay Mishra']"
",Rajesh Khanna",Awara Baap,['Rajesh Khanna']
",Rajesh Khanna,Dimple Kapadia,Chunky Pandey,S.A. Chandrasekhar,Sangeeta Bijlani,Poonam Dhillon",Jai Shiv Shankar,"['Rajesh Khanna', 'Dimple Kapadia', 'Chunky Pandey', 'S.A. Chandrasekhar', 'Sangeeta Bijlani', 'Poonam Dhillon']"
",Kamal Haasan,Rahul Bose,Samrat Chakrabarti,Isha Sharvani,Andrea Jeremiah,Shekhar Kapur",Vishwaroop,"['Kamal Haasan', 'Rahul Bose', 'Samrat Chakrabarti', 'Isha Sharvani', 'Andrea Jeremiah', 'Shekhar Kapur']"
",Kunal,Riya,Arjun Rampal,Satish Kaushik,Amitabh Bachchan,Sunil Shetty,Bipasha Basu,Rajpal Yadav,Mallika Sherawat,Anil Kapoor,Randeep Hooda,Ram Gopal Varma",Darna Zaroori Hai,"['Kunal', 'Riya', 'Arjun Rampal', 'Satish Kaushik', 'Amitabh Bachchan', 'Sunil Shetty', 'Bipasha Basu', 'Rajpal Yadav', 'Mallika Sherawat', 'Anil Kapoor', 'Randeep Hooda', 'Ram Gopal Varma']"
",Salman Khan,Sridevi",Chandra Mukhi,"['Salman Khan', 'Sridevi']"
",Shreyas Talpade,Naseeruddin Shah,Nagesh Kukunoor,Elahe Hiptoola",Bombay to Bangkok,"['Shreyas Talpade', 'Naseeruddin Shah', 'Nagesh Kukunoor', 'Elahe Hiptoola']"
",Ustad Zakir Hussain,Swanand Kirkire",Maazii,"['Ustad Zakir Hussain', 'Swanand Kirkire']"
",Dina Pathak,Rati Agnihotri,Mithun Chakraborty,Surinder Kaur",Rakta Bandhan,"['Dina Pathak', 'Rati Agnihotri', 'Mithun Chakraborty', 'Surinder Kaur']"
",Dilip Kumar,Sunil Dutt",Joggers Park,"['Dilip Kumar', 'Sunil Dutt']"
",Asha Parekh,Utpal Dutt,Bindiya Goswami,Mithun Chakraborty,Anand Bakshi,Basu Chatterjee",Prem Vivah,"['Asha Parekh', 'Utpal Dutt', 'Bindiya Goswami', 'Mithun Chakraborty', 'Anand Bakshi', 'Basu Chatterjee']"
",Rajendra Kumar,Geeta Bali,Devendra Goel,Madan Puri",Vachan,"['Rajendra Kumar', 'Geeta Bali', 'Devendra Goel', 'Madan Puri']"
",Madhuri Dixit,Konkona Sen Sharma,Kunal Kapoor,Sushmita Sen,Priya Ranjan Dasmunsi",Aaja Nachle,"['Madhuri Dixit', 'Konkona Sen Sharma', 'Kunal Kapoor', 'Sushmita Sen', 'Priya Ranjan Dasmunsi']"
",Rakesh Roshan,Rishi Kapoor,Rajesh Roshan,Anil Kapoor,Juhi Chawla",Karobaar: The Business of Love,"['Rakesh Roshan', 'Rishi Kapoor', 'Rajesh Roshan', 'Anil Kapoor', 'Juhi Chawla']"
",Raima Sen,Rabindranath Tagore,Rituparno Ghosh,Swastika Mukherjee,David Stratton,Margaret Pomeranz",Chokher Bali,"['Raima Sen', 'Rabindranath Tagore', 'Rituparno Ghosh', 'Swastika Mukherjee', 'David Stratton', 'Margaret Pomeranz']"
",Karisma Kapoor,Sanjay Dutt,Shakti Kapoor,Salman Khan,David Dhawan",Chal Mere Bhai,"['Karisma Kapoor', 'Sanjay Dutt', 'Shakti Kapoor', 'Salman Khan', 'David Dhawan']"
",Saif Ali Khan,Manisha Koirala,Ustad Nusrat Fateh Ali Khan,Jackie Chan,Namrata Shirodkar,Raj Khosla,Kabir Bedi,Anand Bakshi,Vinod Khanna,Moushumi Chatterjee",Kachche Dhaage,"['Saif Ali Khan', 'Manisha Koirala', 'Ustad Nusrat Fateh Ali Khan', 'Jackie Chan', 'Namrata Shirodkar', 'Raj Khosla', 'Kabir Bedi', 'Anand Bakshi', 'Vinod Khanna', 'Moushumi Chatterjee']"
",Mithun Chakraborty,Ravikant Nagaich",Laparwah,"['Mithun Chakraborty', 'Ravikant Nagaich']"
",Pooja Bhatt,Mahesh Bhatt,Akshay Kumar,Anu Malik,Vikram Bhatt,Aadesh Shrivastava,Javed Akhtar,Sonali Bendre,Aftab Shivdasani,Akkineni Nagarjuna,Paresh Rawal,Gulshan Grover",Angaaray,"['Pooja Bhatt', 'Mahesh Bhatt', 'Akshay Kumar', 'Anu Malik', 'Vikram Bhatt', 'Aadesh Shrivastava', 'Javed Akhtar', 'Sonali Bendre', 'Aftab Shivdasani', 'Akkineni Nagarjuna', 'Paresh Rawal', 'Gulshan Grover']"
",Bipasha Basu,Akshay Kumar,Bobby Deol,Kareena Kapoor,Alan J. Pakula,Sharat Saxena,Johnny Lever,Dalip Tahil,Anu Malik",Ajnabee,"['Bipasha Basu', 'Akshay Kumar', 'Bobby Deol', 'Kareena Kapoor', 'Alan J. Pakula', 'Sharat Saxena', 'Johnny Lever', 'Dalip Tahil', 'Anu Malik']"
",Arjun Singh,Amisha Patel,Sunny Deol,Asha Bhonsle,Michael Powell,Harry Baweja,Mukesh Tiwari,Mukesh Rishi,Abrar Ul Haq,Aarti Chabaria,Sukhshinder Shinda,Neha Dhupia,Murli Sharma,Aashish Chaudhary",Teesri Aankh,"['Arjun Singh', 'Amisha Patel', 'Sunny Deol', 'Asha Bhonsle', 'Michael Powell', 'Harry Baweja', 'Mukesh Tiwari', 'Mukesh Rishi', 'Abrar Ul Haq', 'Aarti Chabaria', 'Sukhshinder Shinda', 'Neha Dhupia', 'Murli Sharma', 'Aashish Chaudhary']"
",Raveena Tandon,Kadar Khan,Prem Chopra,Johnny Lever,David Dhawan,Minister Manohar Joshi",Dulhe Raja,"['Raveena Tandon', 'Kadar Khan', 'Prem Chopra', 'Johnny Lever', 'David Dhawan', 'Minister Manohar Joshi']"
",Divya Bharti,Amrita Singh,Jeetendra,Kamal Sadanah,Ayesha Jhulka,Kumar Sanu",Rang,"['Divya Bharti', 'Amrita Singh', 'Jeetendra', 'Kamal Sadanah', 'Ayesha Jhulka', 'Kumar Sanu']"
",Akshay Kumar,Firoz A. Nadiadwala,Paresh Rawal,Aftab Shivdasani,Sunil Shetty,Shahid Kapoor,Vikram Bhatt,Amisha Patel,Vivek Oberoi,Kareena kapoor,Anu Malik,Rimi Sen,Vijay Raaz",Deewane Huye Paagal,"['Akshay Kumar', 'Firoz A. Nadiadwala', 'Paresh Rawal', 'Aftab Shivdasani', 'Sunil Shetty', 'Shahid Kapoor', 'Vikram Bhatt', 'Amisha Patel', 'Vivek Oberoi', 'Kareena kapoor', 'Anu Malik', 'Rimi Sen', 'Vijay Raaz']"
",Naseeruddin Shah,Aamir Khan,Sonali Bendre,John Matthew Matthan",Sarfarosh,"['Naseeruddin Shah', 'Aamir Khan', 'Sonali Bendre', 'John Matthew Matthan']"
",Bill Yeoman,Eric Crouch,Bob Ladouceur,Jack Lengyel",Veer,"['Bill Yeoman', 'Eric Crouch', 'Bob Ladouceur', 'Jack Lengyel']"
",Abhishek Bachchan,Kabir Bhai,Amitabh Bachchan,Raveena Tandon,Puri Jagannath,Hema Malini,Charmy Kaur,Sonal Chauhan,Sonu Sood,Raj Thackeray",Bbuddah... Hoga Terra Baap,"['Abhishek Bachchan', 'Kabir Bhai', 'Amitabh Bachchan', 'Raveena Tandon', 'Puri Jagannath', 'Hema Malini', 'Charmy Kaur', 'Sonal Chauhan', 'Sonu Sood', 'Raj Thackeray']"
",Anil Kapoor,Madhuri Dixit,N. Chandra,Daggubati Venkatesh,Shreya Ghoshal,Suresh Oberoi",Tezaab,"['Anil Kapoor', 'Madhuri Dixit', 'N. Chandra', 'Daggubati Venkatesh', 'Shreya Ghoshal', 'Suresh Oberoi']"
",Aamir Khan,Kajol,Kunal Kohli,Rishi Kapoor,Sharat Saxena",Fanaa,"['Aamir Khan', 'Kajol', 'Kunal Kohli', 'Rishi Kapoor', 'Sharat Saxena']"
",Priyadarshan,Akshay Kumar,Vishwas Rao,Kulbhushan Kharbanda,Tinu Anand",Khatta Meetha,"['Priyadarshan', 'Akshay Kumar', 'Vishwas Rao', 'Kulbhushan Kharbanda', 'Tinu Anand']"
",Mithun Chakraborty,Ravikant Nagaich,Shakti Kapoor,Ranjeeta Kaur",Tarkeeb,"['Mithun Chakraborty', 'Ravikant Nagaich', 'Shakti Kapoor', 'Ranjeeta Kaur']"
",K. Bhagyaraj,Anil Kapoor,Nagarjuna,Sri Devi",Mr. Bechara,"['K. Bhagyaraj', 'Anil Kapoor', 'Nagarjuna', 'Sri Devi']"
",Karan Singh,Raj Babbar,Gulshan Grover",Gundagardi,"['Karan Singh', 'Raj Babbar', 'Gulshan Grover']"
",Gul Panag,Prakash Jha,Purab Kohli,Prashant Pandey",Turning 30!!!,"['Gul Panag', 'Prakash Jha', 'Purab Kohli', 'Prashant Pandey']"
",Sanjay Leela Bhansali,Manisha Koirala,Seema Biswas,Nana Patekar,Salman Khan,Remo Fernandes,Majrooh Sultanpuri",Khamoshi: The Musical,"['Sanjay Leela Bhansali', 'Manisha Koirala', 'Seema Biswas', 'Nana Patekar', 'Salman Khan', 'Remo Fernandes', 'Majrooh Sultanpuri']"
",Rohit Shetty,Akshay Kumar,Priyanka Chopra",Khiladi,"['Rohit Shetty', 'Akshay Kumar', 'Priyanka Chopra']"
",Papa John",Pizza,['Papa John']
",Nilu Phule,Anita Raj,Kamal Haasan,Anand Bakshi,Karan Razdan,Arjun Chakraborty,Shriram Lagoo,Mohanlal Sharma",Zara Si Zindagi,"['Nilu Phule', 'Anita Raj', 'Kamal Haasan', 'Anand Bakshi', 'Karan Razdan', 'Arjun Chakraborty', 'Shriram Lagoo', 'Mohanlal Sharma']"
",Ekta Kapoor,Anup Soni",Ghar,"['Ekta Kapoor', 'Anup Soni']"
",Master Dinanath",Man Ki Aankhen,['Master Dinanath']
",Lynne Truss",A question mark,['Lynne Truss']
",Meera Syal,Ayesha Dharker,Chandeep Uppal,Anna Brewster",Anita and Me,"['Meera Syal', 'Ayesha Dharker', 'Chandeep Uppal', 'Anna Brewster']"
",Arun Govil,Tarachand Barjatya,K J Yesudas,Sulakshana Pandit,Anand Kumar",Sawan Ko Aane Do,"['Arun Govil', 'Tarachand Barjatya', 'K J Yesudas', 'Sulakshana Pandit', 'Anand Kumar']"
",Sanjeev Kumar,Amitabh Bachchan,Mohammed Zahur Khayyam,Yash Chopra,Sahir Ludhianvi,Kamal Hassan,Kishore Kumar,Gulshan Rai,Waheeda Rehman,Shoban Babu,Hema Malini",Trishul,"['Sanjeev Kumar', 'Amitabh Bachchan', 'Mohammed Zahur Khayyam', 'Yash Chopra', 'Sahir Ludhianvi', 'Kamal Hassan', 'Kishore Kumar', 'Gulshan Rai', 'Waheeda Rehman', 'Shoban Babu', 'Hema Malini']"
",Ram Kapoor",Mere Dad Ki Maruti,['Ram Kapoor']
",Dev Anand,Rajesh Roshan,Ajit Khan,Amjad Khan,Prem Chopra,Shreeram Lagoo,Tom Alter,A. K. Hangal",Des Pardes,"['Dev Anand', 'Rajesh Roshan', 'Ajit Khan', 'Amjad Khan', 'Prem Chopra', 'Shreeram Lagoo', 'Tom Alter', 'A. K. Hangal']"
",Ravindra Jain,Sachin Dev Burman,Shashi Kapoor,Anand Bakshi,Zeenat Aman",Deewaangee,"['Ravindra Jain', 'Sachin Dev Burman', 'Shashi Kapoor', 'Anand Bakshi', 'Zeenat Aman']"
",Sharad Malhotra,Palak Muchhal",From Sydney with Love,"['Sharad Malhotra', 'Palak Muchhal']"
",Natalie Portman,Zooey Deschanel,Katharine Hepburn,Emily Browning,Roger Ebert,Zoe Kazan,Jim Carrey,Stuart Murdoch,Kate Winslet,Kirsten Dunst,Marc Webb,Adam Scott,Sarah Jessica Parker",Dream Girl,"['Natalie Portman', 'Zooey Deschanel', 'Katharine Hepburn', 'Emily Browning', 'Roger Ebert', 'Zoe Kazan', 'Jim Carrey', 'Stuart Murdoch', 'Kate Winslet', 'Kirsten Dunst', 'Marc Webb', 'Adam Scott', 'Sarah Jessica Parker']"
",Raj Kapoor,Ravindra Jain,Meera",Ram Teri Ganga Maili,"['Raj Kapoor', 'Ravindra Jain', 'Meera']"
",Shah Rukh Khan,Yash Chopra,Anupama Chopra,Aditya Chopra,Kajol,Roger Ebert,Salman Khan",Dilwale Dulhania Le Jayenge,"['Shah Rukh Khan', 'Yash Chopra', 'Anupama Chopra', 'Aditya Chopra', 'Kajol', 'Roger Ebert', 'Salman Khan']"
",Saif Ali Khan,Ram Gopal Varma,Shah Rukh Khan,Fardeen Khan,Sonali Bendre,Aftab Shivdasani,Twinkle Khanna,Johnny Lever,Dalip Tahil",Love Ke Liye Kuchh Bhi Karega,"['Saif Ali Khan', 'Ram Gopal Varma', 'Shah Rukh Khan', 'Fardeen Khan', 'Sonali Bendre', 'Aftab Shivdasani', 'Twinkle Khanna', 'Johnny Lever', 'Dalip Tahil']"
",Jugal Hansraj,Mahesh Bhatt,Anupam Kher,Rajesh Roshan,Alok Nath,Reema Lagoo,Rahul Roy",Papa Kehte Hai,"['Jugal Hansraj', 'Mahesh Bhatt', 'Anupam Kher', 'Rajesh Roshan', 'Alok Nath', 'Reema Lagoo', 'Rahul Roy']"
",Vidhu Vinod Chopra,Nana Patekar,Anil Kapoor,Renu Saluja,Jackie Shroff,Madhuri Dixit,Suresh Oberoi,Binod Pradhan,Imtiyaz Husain",Parinda,"['Vidhu Vinod Chopra', 'Nana Patekar', 'Anil Kapoor', 'Renu Saluja', 'Jackie Shroff', 'Madhuri Dixit', 'Suresh Oberoi', 'Binod Pradhan', 'Imtiyaz Husain']"
",Rajendra Kumar,Raj Kapoor,Ravindra Jain,Prem Chopra,Farida Jalal,Aruna Irani,Asha Bhosle",Do Jasoos,"['Rajendra Kumar', 'Raj Kapoor', 'Ravindra Jain', 'Prem Chopra', 'Farida Jalal', 'Aruna Irani', 'Asha Bhosle']"
",Shahid Kapoor,Sanjay Kapoor,Amit Trivedi",Shaandaar,"['Shahid Kapoor', 'Sanjay Kapoor', 'Amit Trivedi']"
",Helen Jairag Richardson,Raakhee,Majrooh Sultanpuri",Mere Sajna,"['Helen Jairag Richardson', 'Raakhee', 'Majrooh Sultanpuri']"
",Ravindra Jain,Tarachand Barjatya,Madan Puri",Geet Gaata Chal,"['Ravindra Jain', 'Tarachand Barjatya', 'Madan Puri']"
",Sanjay Dutt,Satish Kaushik,Anupam Kher,Ameesha Patel,Joginder",Chatur Singh Two Star,"['Sanjay Dutt', 'Satish Kaushik', 'Anupam Kher', 'Ameesha Patel', 'Joginder']"
",Naseeruddin Shah,Dilip Prabhavalkar",Encounter: The Killing,"['Naseeruddin Shah', 'Dilip Prabhavalkar']"
",Mithun Chakraborty",Param Dharam,['Mithun Chakraborty']
",Sonam Kapoor,Juhi Chawla",Ladki,"['Sonam Kapoor', 'Juhi Chawla']"
",Mallika Sherawat,Farhan Akhtar,Vidya Balan,Rahul Bose,Saket Chaudhary,Sophie Choudhary",Pyaar Ke Side Effects,"['Mallika Sherawat', 'Farhan Akhtar', 'Vidya Balan', 'Rahul Bose', 'Saket Chaudhary', 'Sophie Choudhary']"
